Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"DDR_B_BA_0","OffPage","15 DDR3 Channel 1 Slot 0","15","SCHEMATIC1","J4A.71","510","230","4D","[16,9]"
"DDR_B_BA_0","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1E.BB24","260","440","5C","[15,16]"
"DDR_B_BA_1","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","J5A.190","580","400","4C","[15,9]"
"DDR_B_BA_1","OffPage","15 DDR3 Channel 1 Slot 0","15","SCHEMATIC1","J4A.190","510","220","4D","[16,9]"
"DDR_B_BA_1","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1E.AW23","260","450","5C","[15,16]"
"DDR_B_BA_2","OffPage","16 DDR3 Channel 1 Slot 1","16","SCHEMATIC1","J5A.52","580","390","4C","[15,9]"
"DDR_B_BA_2","OffPage","15 DDR3 Channel 1 Slot 0","15","SCHEMATIC1","J4A.52","510","210","4D","[16,9]"
"DDR_B_BA_2","OffPage","09 X48 DDR3 Channel 1","9","SCHEMATIC1","U1E.BB18","260","460","5C","[15,16]"
"DDR_A_BA_0","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2A.71","600","180","4D","[14,8]"
"DDR_A_BA_0","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","J3A.71","590","150","4D","[13,8]"
"DDR_A_BA_0","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1B.BC37","270","340","5C","[13,14]"
"DDR_A_BA_1","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2A.190","600","170","4D","[14,8]"
"DDR_A_BA_1","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","J3A.190","590","140","4D","[13,8]"
"DDR_A_BA_1","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1B.BB36","270","350","5C","[13,14]"
"DDR_A_BA_2","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","J2A.52","600","160","4D","[14,8]"
"DDR_A_BA_2","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","J3A.52","590","130","4D","[13,8]"
"DDR_A_BA_2","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","U1B.BB26","270","360","5C","[13,14]"
"DDR_A_DM_[0:7]","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","","140","350","5C","[14,8]"
"DDR_A_DM_[0:7]","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","","660","210","3D","[13,8]"
"DDR_A_DM_[0:7]","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","","770","320","3C","[13,14]"
"DDR_A_DQSB_[0:8]","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","","650","410","4C","[14,8]"
"DDR_A_DQSB_[0:8]","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","","1170","270","2C","[13,8]"
"DDR_A_DQSB_[0:8]","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","","770","220","3D","[13,14]"
"FSB_REQ0#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.K4","610","600","4B","[6]"
"FSB_REQ0#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.C44","1200","240","2D","[1]"
"DDR_A_DQS_[0:8]","OffPage","13 DDR3 Channel 0 Slot 0","13","SCHEMATIC1","","650","320","4C","[14,8]"
"DDR_A_DQS_[0:8]","OffPage","14 DDR3 Channel 0 Slot 1","14","SCHEMATIC1","","1170","180","2D","[13,8]"
"DDR_A_DQS_[0:8]","OffPage","08 X48 DDR3 Channel 0","8","SCHEMATIC1","","770","120","3D","[13,14]"
"DP0#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","","1460","300","1C","Property Not Present"
"FSB_REQ1#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","J1D.J5","610","610","4B","[6]"
"FSB_REQ1#","OffPage","06 X48 Front Side Bus","6","SCHEMATIC1","U1M.G40","1200","230","2D","[1]"
"DP1#","OffPage","01 CPU Front Side Bus","1","SCHEMATIC1","","1460","310","1C","Property Not Present"
